District,Member,Party,Prior experience,Education,Assumed office,Residence,Born
Texas 30,Eddie Bernice Johnson,Democratic,Texas SenateNurse,"St Mary's College, IndianaTexas Christian University (BS)Southern Methodist University (MPA)",1993,Dallas,1935
Texas 31,John Carter,Republican,Texas state district judge,Texas Tech University (BA)University of Texas at Austin (JD),2003,Round Rock,1941
Texas 32,Colin Allred,Democratic,AttorneyFootball player,"Baylor University (BA)University of California, Berkeley (JD)",2019,Dallas,1983
Texas 33,Marc Veasey,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,1971
Texas 34,Filemon Vela Jr.,Democratic,Attorney,Georgetown University (BA)University of Texas at Austin (JD),2013,Brownsville,1963
Texas 35,Lloyd Doggett,Democratic,Texas SenateTexas Supreme Court justiceCollege professor,"University of Texas at Austin (BA, JD)",1995,Austin,1946
Texas 36,Brian Babin,Republican,"Lower Neches Valley AuthorityTexas Historical CommissionWoodville, Texas","Lamar University (BS)University of Texas, Houston (DDS)",2015,Woodville,1948
Utah 1,Rob Bishop,Republican,Utah House of RepresentativesUtah Republican Party Chair,University of Utah (BA),2003,Brigham City,1951
Utah 2,Chris Stewart,Republican,Authorbusinessman,Utah State University (BA),2013,Farmington,1960
Utah 3,John Curtis,Republican,"Mayor of Provo, Utah",Brigham Young University (BS),2017 (special),Provo,1960
Utah 4,Ben McAdams,Democratic,Mayor of Salt Lake CountyUtah Senate,University of Utah (BA)Columbia University (JD),2019,Salt Lake City,1974
Vermont at-large,Peter Welch,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)University of California, Berkeley (JD)",2007,Norwich,1947
Virginia 1,Rob Wittman,Republican,"Mayor of Montross, VirginiaWestmoreland County, Virginia Board of Supervisors, Virginia House of Delegates",Virginia Tech (BS)University of North Carolina at Chapel Hill (MPH)Virginia Commonwealth University (PhD),2007 (special),Montross,1959
Virginia 2,Elaine Luria,Democratic,U.S. Navy Commander,United States Naval Academy (BS)Old Dominion University (MS),2019,Norfolk,1975
Virginia 3,Bobby Scott,Democratic,Virginia SenateVirginia House of Delegates,Harvard University (BA)Boston College (JD),1993,Newport News,1947
Virginia 4,Donald McEachin,Democratic,Virginia SenateVirginia House of Delegates,American University (BA)University of Virginia (JD)Virginia Union University (MDiv),2017,Henrico County,1961
Virginia 5,Denver Riggleman,Republican,Businessman,"Rowan College, BurlingtonAir UniversityUniversity of Virginia (BA)Villanova University",2019,Nellysford,1970
Virginia 6,Ben Cline,Republican,Virginia House of Delegates,Bates College (BA)University of Richmond (JD),2019,Rockbridge County,1972
Virginia 7,Abigail Spanberger,Democratic,CIA operations officer,University of Virginia (BA)Purdue University (MBA),2019,Glen Allen,1979
Virginia 8,Don Beyer,Democratic,U.S. Ambassador to Switzerland and LiechtensteinLieutenant Governor of Virginia,Williams College (BA),2015,Alexandria,1950
Virginia 9,Morgan Griffith,Republican,Virginia House of Delegates,Emory and Henry College (BA)Washington and Lee University (JD),2011,Salem,1958
Virginia 10,Jennifer Wexton,Democratic,Virginia Senate,"University of Maryland, College Park (BA)College of William and Mary (JD)",2019,Leesburg,1968
Virginia 11,Gerry Connolly,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[2] (BA)Harvard University (MPA)",2009,Fairfax,1950
Washington 1,Suzan DelBene,Democratic,Washington Department of Revenue Director,Reed College (BS)University of Washington (MBA),2012 (special),Medina,1962
Washington 2,Rick Larsen,Democratic,"Snohomish County, Washington Council",Pacific Lutheran University (BA)University of Minnesota (MPA),2001,Lake Stevens,1965
Washington 3,Jaime Herrera Beutler,Republican,Washington House of Representatives,Bellevue CollegeUniversity of Washington (BA),2011,Camas,1978
Washington 4,Dan Newhouse,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,1955
Washington 5,Cathy McMorris Rodgers,Republican,Washington House of Representatives,Pensacola Christian College (BA)University of Washington (MBA),2005,Colville,1969
Washington 6,Derek Kilmer,Democratic,Washington State Senate,"Princeton University (BA)University of Oxford (MA, PhD)",2013,Artondale,1974
Washington 7,Pramila Jayapal,Democratic,Washington State Senate,Georgetown University (BA)Northwestern University (MBA),2017,Seattle,1965
Washington 8,Kim Schrier,Democratic,Pediatrician,"University of California, Berkeley (BS)University of California, Davis (MD)",2019,Sammamish,1968
Washington 9,Adam Smith,Democratic,Washington State Senate,Western Washington UniversityFordham University (BA)University of Washington (JD),1997,Bellevue,1965
Washington 10,Denny Heck,Democratic,Washington House of Representatives,Evergreen State College (BA)Portland State University,2013,Olympia,1952
West Virginia 1,David McKinley,Republican,West Virginia House of Delegatesbusinessman,Purdue University (BS),2011,Wheeling,1947
West Virginia 2,Alex Mooney,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,1971
West Virginia 3,Carol Miller,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Crab Orchard,1950
Wisconsin 1,Bryan Steil,Republican,Congressional aideAttorney,Georgetown University (BS)University of Wisconsin–Madison (JD),2019,Janesville,1981
Wisconsin 2,Mark Pocan,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Madison,1964
Wisconsin 3,Ron Kind,Democratic,County Prosecutor,Harvard University (BA)London School of Economics(MA)University of Minnesota (JD),1997,La Crosse,1963
Wisconsin 4,Gwen Moore,Democratic,Wisconsin State SenateWisconsin State Assembly,Marquette University (BA),2005,Milwaukee,1951
Wisconsin 5,Jim Sensenbrenner,Republican,Wisconsin State SenateWisconsin State Assembly,Stanford University (BA)University of Wisconsin–Madison (JD),1979,Menomonee Falls,1943
Wisconsin 6,Glenn Grothman,Republican,Wisconsin SenateWisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Campbellsport,1955
Wisconsin 7,Tom Tiffany,Republican,Wisconsin SenateWisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,1957
Wisconsin 8,Mike Gallagher,Republican,Political advisorU.S. Marine Corps,"Princeton University (BA)National Intelligence University (MS)Georgetown University (MA, MS, PhD)",2017,Green Bay,1984
Wyoming at-large,Liz Cheney,Republican,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,Colorado College (BA)University of Chicago (JD),2017,Jackson,1966
